SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining,ReelSetName,ExpectedRTP
157,25,12.5,68.33%,50.32%,False,0,HighRtpSet_39,63.90%
158,25,1875,115.36%,50.63%,False,0,HighRtpSet_47,90.46%
159,25,5,114.76%,50.94%,False,0,HighRtpSet_48,56.70%
160,25,50,115.30%,51.25%,False,0,HighRtpSet_41,91.91%
161,25,0,114.58%,50.93%,False,0,HighRtpSet_34,47.57%
162,25,0,113.87%,50.62%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
163,25,0,113.17%,50.31%,False,0,HighRtpSet_40,60.18%
164,25,0,112.48%,50.00%,False,0,HighRtpSet_39,99.02%
165,25,0.5,111.81%,50.30%,False,0,HighRtpSet_43,61.73%
166,25,0,111.14%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
167,25,0,110.47%,49.70%,False,0,HighRtpSet_32,50.85%
168,25,0,109.82%,49.40%,False,0,HighRtpSet_38,56.39%
169,25,0.5,109.18%,49.70%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
170,25,10,108.77%,50.00%,False,0,HighRtpSet_41,56.08%
171,25,0,108.14%,49.71%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
172,25,50,108.67%,50.00%,False,0,HighRtpSet_35,55.82%
173,25,0,108.04%,49.71%,False,0,HighRtpSet_45,63.29%
174,25,0,107.42%,49.43%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
175,25,0,106.81%,49.14%,False,0,HighRtpSet_50,58.48%
176,25,0,106.20%,48.86%,False,0,HighRtpSet_36,101.20%
177,25,0,105.60%,48.59%,False,0,HighRtpSet_34,52.72%
178,25,0,105.01%,48.31%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
179,25,1.5,104.45%,48.60%,False,0,HighRtpSet_33,53.63%
180,25,0,103.87%,48.33%,False,0,HighRtpSet_35,74.45%
181,25,50,104.40%,48.62%,False,0,HighRtpSet_40,56.72%
182,25,100,106.03%,48.90%,False,0,HighRtpSet_34,52.47%
183,25,1.5,105.48%,49.18%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
184,25,0,104.91%,48.91%,False,0,HighRtpSet_47,56.30%
185,25,50,105.42%,49.19%,False,0,HighRtpSet_36,49.44%
186,25,0,104.86%,48.92%,False,0,HighRtpSet_31,46.39%
187,25,0,104.30%,48.66%,False,0,HighRtpSet_38,55.64%
188,25,0,103.74%,48.40%,False,0,HighRtpSet_44,58.81%
189,25,0,103.19%,48.15%,False,0,HighRtpSet_35,51.04%
190,25,0,102.65%,47.89%,False,0,HighRtpSet_48,78.18%
191,25,0,102.11%,47.64%,False,0,HighRtpSet_40,58.77%
192,25,0,101.58%,47.40%,False,0,HighRtpSet_39,53.48%
193,25,0,101.05%,47.15%,False,0,HighRtpSet_38,49.09%
194,25,0,100.53%,46.91%,False,0,HighRtpSet_34,58.03%
195,25,0,100.02%,46.67%,False,0,HighRtpSet_46,45.39%
196,25,0,99.51%,46.43%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
197,25,0,99.00%,46.19%,False,0,HighRtpSet_39,59.16%
198,25,0,98.50%,45.96%,False,0,HighRtpSet_43,110.00%
199,25,1.5,98.04%,46.23%,False,0,HighRtpSet_46,59.45%
200,25,0,97.55%,46.00%,False,0,HighRtpSet_44,75.37%
